,Район,Цена,Количество комнат,Общая площадь,Площадь кухни,Этаж,Балкон или лоджия,Тип комнат,Санузел,Ремонт,Мебель,Техника,Интернет и ТВ,Можно с детьми,Можно с животными,Можно курить,Тип дома,Этажей в доме,Пассажирский лифт,Грузовой лифт,Парковка,Лифт,Улица
100,р-н Центральный,24000.0,2,48.0,6.0,3,балкон,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина","Wi-Fi, телевидение",0,0,0,панельный,5,0,0,открытая во дворе,0,ул. Карла Маркса
101,р-н Центральный,30000.0,2,75.0,19.0,4,лоджия,изолированные,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,монолитно-кирпичный,10,1,1,за шлагбаумом во дворе,1,Хуторская ул.
102,р-н Сеймский,11000.0,2,46.0,9.0,6,лоджия,изолированные,раздельный,косметический,кухня,"холодильник, плита, стиральная машина, телевизор",Wi-Fi,1,0,0,панельный,9,1,0,открытая во дворе,1,пр-т Ленинского Комсомола
103,р-н Сеймский,9000.0,1,31.0,6.0,2,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита",,1,0,0,панельный,5,0,0,открытая во дворе,0,ул. Дейнеки
104,р-н Центральный,22000.0,3,61.0,7.0,7,лоджия,изолированные,раздельный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, телевизор","Wi-Fi, телевидение",0,0,1,кирпичный,9,1,0,за шлагбаумом во дворе,1,ул. Ленина
105,р-н Центральный,20000.0,1,54.0,14.0,5,лоджия,,раздельный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина","Wi-Fi, телевидение",1,0,1,монолитный,8,1,0,за шлагбаумом во дворе,1,Школьная ул.
106,р-н Центральный,12000.0,2,72.0,17.0,12,лоджия,изолированные,раздельный,дизайнерский,кухня,плита,,1,0,0,монолитно-кирпичный,16,1,1,открытая во дворе,1,пр-т Анатолия Дериглазова
107,р-н Центральный,30000.0,3,65.0,6.0,1,,изолированные,,косметический,,"холодильник, микроволновка, стиральная машина",,1,1,0,панельный,5,0,0,,0,ул. Димитрова
108,р-н Центральный,15000.0,2,47.0,8.0,5,лоджия,изолированные,раздельный,косметический,"кухня, спальные места","холодильник, плита, стиральная машина",,1,1,0,кирпичный,9,0,0,,0,ул. Чернышевского
109,р-н Центральный,20000.0,1,32.3,6.8,4,лоджия,,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,кирпичный,9,1,0,за шлагбаумом во дворе,1,ул. Димитрова
110,р-н Железнодорожный,8000.0,1,30.0,6.0,2,"балкон, лоджия",,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор","Wi-Fi, телевидение",1,0,0,панельный,5,0,0,открытая во дворе,0,Союзная ул.
111,р-н Центральный,27000.0,1,44.0,44.0,5,лоджия,,совмещенный,дизайнерский,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, посудомоечная машина, водонагреватель, телевизор","Wi-Fi, телевидение",1,0,0,монолитный,16,1,1,открытая во дворе,1,ул. Гайдара
112,р-н Центральный,12000.0,1,37.0,10.0,12,балкон,,совмещенный,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор","Wi-Fi, телевидение",0,0,0,панельный,17,0,0,открытая во дворе,0,пр-т Вячеслава Клыкова
113,р-н Сеймский,12000.0,2,43.0,6.0,5,балкон,изолированные,раздельный,косметический,,"кондиционер, холодильник, плита, микроволновка, водонагреватель",,1,0,0,панельный,5,0,0,,0,ул. Дейнеки
114,р-н Центральный,20000.0,2,54.0,10.0,9,балкон,изолированные,раздельный,евро,"кухня, хранение одежды, спальные места","кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор",телевидение,0,0,0,монолитно-кирпичный,17,1,1,за шлагбаумом во дворе,1,ул. Радищева
115,р-н Центральный,25000.0,1,37.0,10.0,4,балкон,,совмещенный,евро,"кухня, хранение одежды, спальные места","холодильник, плита, стиральная машина, телевизор",телевидение,0,0,0,монолитный,18,0,1,за шлагбаумом во дворе,1,Запольная ул.
116,р-н Сеймский,12000.0,2,46.0,46.0,7,балкон,изолированные,,косметический,"кухня, хранение одежды, спальные места","холодильник, плита, микроволновка, стиральная машина, телевизор",,1,0,0,кирпичный,9,1,0,открытая во дворе,1,пр-т Ленинского Комсомола
